Starting teleoperation loop...
loop  497 Hz  dt<= 2.2 ms  cpu<=0.6 ms  slow   0 | F  1.9 N (max 11.9)  tau 0.20 Nm  F@c  1.8 N | err  2.8 mm  1.1 deg (max  2.9 mm)  leash   0% | v  2.2 mm/s (max 51.1)  at vmax   0%  ff 0.00 | ok  net 0
loop  497 Hz  dt<= 2.9 ms  cpu<=0.6 ms  slow   0 | F  2.2 N (max  8.9)  tau 0.18 Nm  F@c  1.0 N | err  3.0 mm  1.4 deg (max  3.2 mm)  leash   0% | v  1.2 mm/s (max 12.8)  at vmax   0%  ff 0.47 | ok  net 0
loop  497 Hz  dt<= 2.3 ms  cpu<=0.6 ms  slow   0 | F  3.5 N (max  7.1)  tau 0.19 Nm  F@c  1.8 N | err  5.4 mm  1.6 deg (max  5.4 mm)  leash   0% | v 50.7 mm/s (max 50.7)  at vmax   0%  ff 0.28 | ok  net 0
loop  497 Hz  dt<= 2.8 ms  cpu<=0.6 ms  slow   0 | F  4.5 N (max  8.7)  tau 0.21 Nm  F@c  2.0 N | err  4.3 mm  1.9 deg (max  5.4 mm)  leash   0% | v 21.2 mm/s (max 50.9)  at vmax   0%  ff 0.72 | ok  net 0
loop  497 Hz  dt<= 2.2 ms  cpu<=0.6 ms  slow   0 | F  6.2 N (max  7.7)  tau 0.25 Nm  F@c  3.5 N | err  5.2 mm  2.1 deg (max  5.5 mm)  leash   0% | v  9.1 mm/s (max 26.3)  at vmax   0%  ff 0.45 | ok  net 0
loop  447 Hz  dt<=53.7 ms  cpu<=53.7 ms  slow   1 | F  3.2 N (max  8.0)  tau 0.19 Nm  F@c  2.3 N | err  5.0 mm  2.3 deg (max  5.2 mm)  leash   0% | v  1.9 mm/s (max 12.6)  at vmax   0%  ff 0.81 | ok  net 0
loop  497 Hz  dt<= 2.2 ms  cpu<=0.7 ms  slow   0 | F  4.0 N (max  5.6)  tau 0.20 Nm  F@c  2.5 N | err  5.1 mm  2.5 deg (max  5.2 mm)  leash   0% | v  9.0 mm/s (max 16.1)  at vmax   0%  ff 0.85 | ok  net 0
loop  497 Hz  dt<= 2.9 ms  cpu<=0.6 ms  slow   0 | F  4.2 N (max  5.9)  tau 0.19 Nm  F@c  3.3 N | err  5.2 mm  2.6 deg (max  5.3 mm)  leash   0% | v  1.6 mm/s (max 26.5)  at vmax   0%  ff 0.96 | ok  net 0
loop  497 Hz  dt<= 2.2 ms  cpu<=0.6 ms  slow   0 | F 11.8 N (max 14.9)  tau 0.55 Nm  F@c  5.6 N | err  5.7 mm  2.8 deg (max  5.8 mm)  leash   0% | v  1.9 mm/s (max  3.4)  at vmax   0%  ff 0.56 | ok  net 0
loop  496 Hz  dt<= 3.2 ms  cpu<=0.6 ms  slow   0 | F  3.3 N (max 19.1)  tau 0.50 Nm  F@c  4.9 N | err  6.4 mm  3.1 deg (max  6.4 mm)  leash   0% | v  2.3 mm/s (max  4.2)  at vmax   0%  ff 0.00 | ok  net 0
loop  497 Hz  dt<= 2.9 ms  cpu<=0.6 ms  slow   0 | F 15.5 N (max 24.2)  tau 0.53 Nm  F@c  4.2 N | err  7.5 mm  3.3 deg (max  7.6 mm)  leash   0% | v  3.6 mm/s (max  5.0)  at vmax   0%  ff 0.00 | ok  net 0
loop  497 Hz  dt<= 2.2 ms  cpu<=0.6 ms  slow   0 | F 19.2 N (max 23.5)  tau 0.69 Nm  F@c  7.5 N | err 15.4 mm  3.5 deg (max 15.4 mm)  leash   0% | v  5.9 mm/s (max  6.8)  at vmax   0%  ff 0.00 | ok  net 0
loop  497 Hz  dt<= 2.9 ms  cpu<=0.8 ms  slow   0 | F 16.7 N (max 23.3)  tau 0.44 Nm  F@c 10.9 N | err 35.3 mm  3.6 deg (max 35.3 mm)  leash  27% | v 12.0 mm/s (max 13.7)  at vmax   0%  ff 0.00 | ok  net 0
loop  497 Hz  dt<= 2.2 ms  cpu<=0.6 ms  slow   0 | F 19.9 N (max 22.4)  tau 0.63 Nm  F@c  7.8 N | err 53.0 mm  3.5 deg (max 53.0 mm)  leash 100% | v 18.1 mm/s (max 19.1)  at vmax   0%  ff 0.00 | ok  net 0
loop  497 Hz  dt<= 2.2 ms  cpu<=1.6 ms  slow   0 | F 17.3 N (max 22.0)  tau 0.67 Nm  F@c  4.8 N | err 68.1 mm  3.3 deg (max 68.1 mm)  leash 100% | v 23.7 mm/s (max 23.8)  at vmax   0%  ff 0.00 | ok  net 0
loop  482 Hz  dt<=17.0 ms  cpu<=16.9 ms  slow   1 | F  4.5 N (max 21.3)  tau 0.17 Nm  F@c  2.9 N | err 80.2 mm  3.1 deg (max 80.2 mm)  leash 100% | v 36.0 mm/s (max 36.0)  at vmax   0%  ff 0.00 | ok  net 0
loop  497 Hz  dt<= 2.3 ms  cpu<=0.8 ms  slow   0 | F  5.1 N (max  9.5)  tau 0.16 Nm  F@c  3.6 N | err 71.9 mm  2.8 deg (max 81.3 mm)  leash 100% | v 21.2 mm/s (max 45.1)  at vmax   0%  ff 0.18 | ok  net 0
loop  497 Hz  dt<= 3.2 ms  cpu<=0.6 ms  slow   0 | F  1.9 N (max  7.9)  tau 0.13 Nm  F@c  0.6 N | err 61.8 mm  2.5 deg (max 71.9 mm)  leash 100% | v 18.5 mm/s (max 21.9)  at vmax   0%  ff 0.57 | ok  net 0
loop  497 Hz  dt<= 2.3 ms  cpu<=0.7 ms  slow   0 | F  2.1 N (max  4.7)  tau 0.15 Nm  F@c  0.4 N | err 53.2 mm  2.2 deg (max 61.8 mm)  leash 100% | v 16.0 mm/s (max 18.7)  at vmax   0%  ff 0.76 | ok  net 0
loop  493 Hz  dt<= 6.3 ms  cpu<=6.2 ms  slow   1 | F  1.2 N (max  2.3)  tau 0.13 Nm  F@c  0.0 N | err 45.7 mm  1.9 deg (max 53.2 mm)  leash 100% | v 13.7 mm/s (max 16.0)  at vmax   0%  ff 0.95 | ok  net 0
loop  497 Hz  dt<= 2.6 ms  cpu<=2.6 ms  slow   0 | F  1.8 N (max  2.2)  tau 0.13 Nm  F@c  0.0 N | err 39.3 mm  1.7 deg (max 45.6 mm)  leash 100% | v 11.8 mm/s (max 13.7)  at vmax   0%  ff 0.97 | ok  net 0
loop  497 Hz  dt<= 2.2 ms  cpu<=1.4 ms  slow   0 | F  1.1 N (max  1.9)  tau 0.16 Nm  F@c  0.0 N | err 33.7 mm  1.4 deg (max 39.2 mm)  leash 100% | v 10.2 mm/s (max 11.8)  at vmax   0%  ff 0.99 | ok  net 0
loop  497 Hz  dt<= 3.1 ms  cpu<=1.2 ms  slow   0 | F  1.3 N (max  1.9)  tau 0.15 Nm  F@c  0.0 N | err 29.0 mm  1.3 deg (max 33.7 mm)  leash  76% | v  8.7 mm/s (max 10.2)  at vmax   0%  ff 1.00 | ok  net 0
loop  493 Hz  dt<= 6.3 ms  cpu<=6.2 ms  slow   1 | F  0.7 N (max  2.0)  tau 0.14 Nm  F@c  0.0 N | err 24.9 mm  1.1 deg (max 29.0 mm)  leash   0% | v  7.5 mm/s (max  8.7)  at vmax   0%  ff 1.00 | ok  net 0
loop  448 Hz  dt<=52.0 ms  cpu<=51.9 ms  slow   1 | F  1.5 N (max  4.4)  tau 0.13 Nm  F@c  0.0 N | err 24.3 mm  1.0 deg (max 24.9 mm)  leash   0% | v 57.2 mm/s (max 57.3)  at vmax   0%  ff 0.50 | ok  net 0
loop  497 Hz  dt<= 2.9 ms  cpu<=0.7 ms  slow   0 | F  0.8 N (max  3.7)  tau 0.15 Nm  F@c  0.0 N | err 20.8 mm  0.8 deg (max 24.4 mm)  leash   0% | v 56.1 mm/s (max 59.2)  at vmax   0%  ff 0.89 | ok  net 0
loop  497 Hz  dt<= 2.2 ms  cpu<=0.9 ms  slow   0 | F  0.9 N (max  3.9)  tau 0.14 Nm  F@c  0.0 N | err 16.9 mm  0.7 deg (max 20.8 mm)  leash   0% | v  5.1 mm/s (max 56.2)  at vmax   0%  ff 1.00 | ok  net 0
loop  496 Hz  dt<= 3.3 ms  cpu<=0.7 ms  slow   0 | F  1.3 N (max  1.7)  tau 0.15 Nm  F@c  0.0 N | err 14.5 mm  0.6 deg (max 16.9 mm)  leash   0% | v  4.4 mm/s (max  5.1)  at vmax   0%  ff 1.00 | ok  net 0
loop  497 Hz  dt<= 2.8 ms  cpu<=0.7 ms  slow   0 | F  1.0 N (max  2.1)  tau 0.04 Nm  F@c  0.0 N | err 12.7 mm  0.5 deg (max 14.5 mm)  leash   0% | v 32.7 mm/s (max 36.0)  at vmax   0%  ff 0.90 | ok  net 0
loop  497 Hz  dt<= 2.2 ms  cpu<=0.7 ms  slow   0 | F  1.2 N (max  2.0)  tau 0.15 Nm  F@c  0.0 N | err 10.6 mm  0.5 deg (max 12.7 mm)  leash   0% | v 48.7 mm/s (max 48.7)  at vmax   0%  ff 1.00 | ok  net 0
loop  497 Hz  dt<= 2.2 ms  cpu<=1.7 ms  slow   0 | F  0.9 N (max  3.0)  tau 0.15 Nm  F@c  0.0 N | err  9.2 mm  0.5 deg (max 10.6 mm)  leash   0% | v  2.8 mm/s (max 49.7)  at vmax   0%  ff 1.00 | ok  net 0
loop  497 Hz  dt<= 2.2 ms  cpu<=0.7 ms  slow   0 | F  0.8 N (max  1.6)  tau 0.11 Nm  F@c  0.0 N | err  8.0 mm  0.4 deg (max  9.3 mm)  leash   0% | v  2.4 mm/s (max  2.8)  at vmax   0%  ff 1.00 | ok  net 0
loop  497 Hz  dt<= 2.2 ms  cpu<=1.7 ms  slow   0 | F  0.9 N (max  2.0)  tau 0.14 Nm  F@c  0.0 N | err  6.9 mm  0.4 deg (max  7.9 mm)  leash   0% | v  2.9 mm/s (max  4.5)  at vmax   0%  ff 1.00 | ok  net 0
loop  497 Hz  dt<= 2.2 ms  cpu<=0.7 ms  slow   0 | F  1.1 N (max  1.6)  tau 0.14 Nm  F@c  0.0 N | err  5.9 mm  0.4 deg (max  6.9 mm)  leash   0% | v  2.6 mm/s (max  2.8)  at vmax   0%  ff 1.00 | ok  net 0
loop  497 Hz  dt<= 3.0 ms  cpu<=0.6 ms  slow   0 | F  1.1 N (max  1.5)  tau 0.14 Nm  F@c  0.0 N | err  5.0 mm  0.3 deg (max  5.9 mm)  leash   0% | v  2.5 mm/s (max  2.6)  at vmax   0%  ff 1.00 | ok  net 0
